timestamp	name	view	init	seed	epochs_max	patience	best_epoch	stopped_epoch	n_train_images	samples_seen	extra	best_model	job
2026-08-26 17:00	t1_nano_k025_t024_s1_noneg_n_s1	t1_rfdetr_seg_nano_k0.25_t0.24_s1_noneg	yolo26n.pt	1	60	15	4	19	136813	2599447	{}	<cluster-home>	3174101
2026-08-26 19:03	t1_nano_k025_t024_s1_s_s1	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26s.pt	1	60	15	1	16	191258	3060128	{}	<cluster-home>	3174091
2026-08-26 19:31	t1_nanoadd_k025_t024_s1_n_s1	t1_rfdetr_seg_nano_add_k0.25_t0.24_s1	yolo26n.pt	1	60	15	24	39	191217	7457463	{}	<cluster-home>	3173972
2026-08-26 20:02	canon_bfi_s_s2	canonical_bfi	yolo26s.pt	2	300	50	25	75	31083	2331225	{}	<cluster-home>	3177688
2026-08-26 21:29	kd_t1_n_s2	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26n.pt	2	60	15	3	18	191258	3442644	{"distill_model": "9_bfi_yolo26_xlarge_best_e21_j2853807.pt", "dis": 6.0}	<cluster-home>	3173939
2026-08-26 21:40	kd_interp_n_s2	interp_gt_s1	yolo26n.pt	2	60	15	2	17	191613	3257421	{"distill_model": "9_bfi_yolo26_xlarge_best_e21_j2853807.pt", "dis": 6.0}	<cluster-home>	3173962
2026-08-26 22:04	t1_nano_k025_t024_s1_s_s2	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26s.pt	2	60	15	1	16	191258	3060128	{}	<cluster-home>	3177689
2026-08-26 22:06	t1_nano_k025_t024_s1_noneg_n_s2	t1_rfdetr_seg_nano_k0.25_t0.24_s1_noneg	yolo26n.pt	2	60	15	3	18	136813	2462634	{}	<cluster-home>	3177883
2026-08-26 22:50	kd_t1_n_s3	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26n.pt	3	60	15	2	17	191258	3251386	{"distill_model": "9_bfi_yolo26_xlarge_best_e21_j2853807.pt", "dis": 6.0}	<cluster-home>	3174088
2026-08-26 23:31	kd_interp_n_s3	interp_gt_s1	yolo26n.pt	3	60	15	3	18	191613	3449034	{"distill_model": "9_bfi_yolo26_xlarge_best_e21_j2853807.pt", "dis": 6.0}	<cluster-home>	3174089
2026-08-27 00:38	canon_bfi_s_s3	canonical_bfi	yolo26s.pt	3	300	50	17	67	31083	2082561	{}	train/edge_distill/best_models/canon_bfi_s_s3_best_e17.pt
