timestamp	stem	imgsz	params_M	gflops	onnx_MB	onnx_path
2026-08-26 13:06	t1_nano_k025_t024_s1_keepempty_n_s1_best_e2	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_keepempty_n_s1_best_e2_512.onnx
2026-08-26 13:06	t1_nano_k025_t024_s1_keepempty_n_s1_best_e2	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_keepempty_n_s1_best_e2_384.onnx
2026-08-26 13:06	t1_nano_k025_t024_s1_n_s2_best_e2	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_n_s2_best_e2_640.onnx
2026-08-26 13:06	t1_nano_k025_t024_s1_n_s2_best_e2	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_n_s2_best_e2_512.onnx
2026-08-26 13:06	t1_nano_k025_t024_s1_n_s2_best_e2	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_n_s2_best_e2_384.onnx
2026-08-26 13:06	t1_nano_k025_t024_s1_n_s3_best_e2	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_n_s3_best_e2_640.onnx
2026-08-26 13:06	t1_nano_k025_t024_s1_n_s3_best_e2	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_n_s3_best_e2_512.onnx
2026-08-26 13:06	t1_nano_k025_t024_s1_n_s3_best_e2	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_n_s3_best_e2_384.onnx
2026-08-26 13:06	t1_nano_k025_t024_s2_n_s1_best_e3	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s1_best_e3_640.onnx
2026-08-26 13:06	t1_nano_k025_t024_s2_n_s1_best_e3	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s1_best_e3_512.onnx
2026-08-26 13:06	t1_nano_k025_t024_s2_n_s1_best_e3	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s1_best_e3_384.onnx
2026-08-26 13:06	t1_nano_k025_t024_s2_n_s3_best_e2	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s3_best_e2_640.onnx
2026-08-26 13:06	t1_nano_k025_t024_s2_n_s3_best_e2	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s3_best_e2_512.onnx
2026-08-26 13:06	t1_nano_k025_t024_s2_n_s3_best_e2	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s3_best_e2_384.onnx
2026-08-26 13:06	t1_nano_k025_t024_s4_n_s1_best_e4	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s1_best_e4_640.onnx
2026-08-26 13:06	t1_nano_k025_t024_s4_n_s1_best_e4	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s1_best_e4_512.onnx
2026-08-26 13:06	t1_nano_k025_t024_s4_n_s1_best_e4	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s1_best_e4_384.onnx
2026-08-26 13:06	t1_nano_k025_t024_s4_n_s2_best_e10	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s2_best_e10_640.onnx
2026-08-26 13:06	t1_nano_k025_t024_s4_n_s2_best_e10	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s2_best_e10_512.onnx
2026-08-26 13:06	t1_nano_k025_t024_s4_n_s2_best_e10	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s2_best_e10_384.onnx
2026-08-26 13:06	t1_nano_k025_t035_s1_n_s1_best_e2	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t035_s1_n_s1_best_e2_640.onnx
2026-08-26 13:06	t1_nano_k025_t035_s1_n_s1_best_e2	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t035_s1_n_s1_best_e2_512.onnx
2026-08-26 13:06	t1_nano_k025_t035_s1_n_s1_best_e2	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t035_s1_n_s1_best_e2_384.onnx
2026-08-26 13:06	t1_nano_k0_t024_s1_n_s1_best_e2	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k0_t024_s1_n_s1_best_e2_640.onnx
2026-08-26 13:06	t1_nano_k0_t024_s1_n_s1_best_e2	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k0_t024_s1_n_s1_best_e2_512.onnx
2026-08-26 13:06	t1_nano_k0_t024_s1_n_s1_best_e2	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k0_t024_s1_n_s1_best_e2_384.onnx
2026-08-26 13:06	t1s1_ft_canon_bfi_n_s1_best_e1	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1s1_ft_canon_bfi_n_s1_best_e1_640.onnx
2026-08-26 13:06	t1s1_ft_canon_bfi_n_s1_best_e1	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1s1_ft_canon_bfi_n_s1_best_e1_512.onnx
2026-08-26 13:06	t1s1_ft_canon_bfi_n_s1_best_e1	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1s1_ft_canon_bfi_n_s1_best_e1_384.onnx
2026-08-26 13:06	t1s1_ftlow_canon_bfi_n_s1_best_e6	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1s1_ftlow_canon_bfi_n_s1_best_e6_640.onnx
2026-08-26 13:06	t1s1_ftlow_canon_bfi_n_s1_best_e6	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1s1_ftlow_canon_bfi_n_s1_best_e6_512.onnx
2026-08-26 13:07	t1s1_ftlow_canon_bfi_n_s1_best_e6	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1s1_ftlow_canon_bfi_n_s1_best_e6_384.onnx
2026-08-26 13:07	t1s2_ftlow_canon_bfi_n_s2_best_e5	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1s2_ftlow_canon_bfi_n_s2_best_e5_640.onnx
2026-08-26 13:07	t1s2_ftlow_canon_bfi_n_s2_best_e5	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1s2_ftlow_canon_bfi_n_s2_best_e5_512.onnx
2026-08-26 13:07	t1s2_ftlow_canon_bfi_n_s2_best_e5	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1s2_ftlow_canon_bfi_n_s2_best_e5_384.onnx
2026-08-26 13:07	t1s3_ftlow_canon_bfi_n_s3_best_e5	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1s3_ftlow_canon_bfi_n_s3_best_e5_640.onnx
2026-08-26 13:07	t1s3_ftlow_canon_bfi_n_s3_best_e5	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1s3_ftlow_canon_bfi_n_s3_best_e5_512.onnx
2026-08-26 13:07	t1s3_ftlow_canon_bfi_n_s3_best_e5	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1s3_ftlow_canon_bfi_n_s3_best_e5_384.onnx
2026-08-26 18:58	kd_bfi_x_n_s1_best_e17	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/kd_bfi_x_n_s1_best_e17_640.onnx
2026-08-26 18:58	kd_bfi_x_n_s1_best_e17	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/kd_bfi_x_n_s1_best_e17_512.onnx
2026-08-26 18:58	kd_bfi_x_n_s1_best_e17	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/kd_bfi_x_n_s1_best_e17_384.onnx
2026-08-26 18:58	canon_bfi_s_s1_best_e1	640	9.949	22.50	38.2	/mnt/linux/icra_edge/exports/canon_bfi_s_s1_best_e1_640.onnx
2026-08-26 18:58	canon_bfi_s_s1_best_e1	512	9.949	14.40	38.1	/mnt/linux/icra_edge/exports/canon_bfi_s_s1_best_e1_512.onnx
2026-08-26 18:58	canon_bfi_s_s1_best_e1	384	9.949	8.10	38.1	/mnt/linux/icra_edge/exports/canon_bfi_s_s1_best_e1_384.onnx
2026-08-26 18:58	kd_t1_n_s1_best_e3	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/kd_t1_n_s1_best_e3_640.onnx
2026-08-26 18:58	kd_t1_n_s1_best_e3	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/kd_t1_n_s1_best_e3_512.onnx
2026-08-26 18:58	kd_t1_n_s1_best_e3	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/kd_t1_n_s1_best_e3_384.onnx
2026-08-26 18:58	t1_nano_k025_t024_s1_noneg_n_s1_best_e4	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_noneg_n_s1_best_e4_640.onnx
2026-08-26 18:58	t1_nano_k025_t024_s1_noneg_n_s1_best_e4	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_noneg_n_s1_best_e4_512.onnx
2026-08-26 18:58	t1_nano_k025_t024_s1_noneg_n_s1_best_e4	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s1_noneg_n_s1_best_e4_384.onnx
2026-08-26 18:58	t1_nano_k025_t024_s2_n_s2_best_e25	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s2_best_e25_640.onnx
2026-08-26 18:58	t1_nano_k025_t024_s2_n_s2_best_e25	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s2_best_e25_512.onnx
2026-08-26 18:58	t1_nano_k025_t024_s2_n_s2_best_e25	384	2.504	2.08	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s2_n_s2_best_e25_384.onnx
2026-08-26 18:58	t1_nano_k025_t024_s4_n_s3_best_e24	640	2.504	5.77	9.8	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s3_best_e24_640.onnx
2026-08-26 18:58	t1_nano_k025_t024_s4_n_s3_best_e24	512	2.504	3.69	9.7	/mnt/linux/icra_edge/exports/t1_nano_k025_t024_s4_n_s3_best_e24_512.onnx
