timestamp	video	kind	frames	frames_with_pseudo_box	frac_fp_frames	tp	fp	fn	precision	recall	annotated_frames	missed_frames
2026-08-28 06:38	RipBench-003	rip	159	51		19	2	45	0.905	0.297	64	43
2026-08-28 06:38	RipBench-006	rip	1235	1202		110	231	179	0.323	0.381	289	8
2026-08-28 06:38	RipBench-011	rip	82	82		82	9	0	0.901	1.000	82	0
2026-08-28 06:38	RipBench-020	rip	825	825		272	14	4	0.951	0.986	138	0
2026-08-28 06:38	RipBench-028	rip	316	312		58	0	50	1.000	0.537	54	0
2026-08-28 06:38	RipBench-029	rip	1330	1328		195	55	28	0.780	0.874	223	1
2026-08-28 06:38	RipBench-032	rip	812	812		136	0	0	1.000	1.000	136	0
2026-08-28 06:38	RipBench-033	rip	2516	2509		334	114	87	0.746	0.793	421	1
2026-08-28 06:38	RipBench-034	rip	3623	3622		601	17	4	0.972	0.993	605	0
2026-08-28 06:38	RipBench-036	rip	1238	1238		408	0	6	1.000	0.986	207	0
2026-08-28 06:38	RipBench-045	rip	9081	9081		2439	222	269	0.917	0.901	1516	0
