timestamp	stem	class	resolution	params_M	onnx_files	out_dir
2026-08-27 11:00	1_det_rfdetr_nano_best_best_ema_j3178618	RFDETRNano	384	30.15	inference_model.onnx:114.3MB	/mnt/linux/icra_edge/exports/rfdetr_det/1_det_rfdetr_nano_best_best_ema_j3178618
2026-09-07 06:38	1_det_rfdetr_nano_best_best_ema_j3178618	RFDETRNano	384	30.15	inference_model.onnx:114.3MB	/mnt/linux/icra_edge/exports/rfdetr_det/1_det_rfdetr_nano_best_best_ema_j3178618
2026-09-07 06:38	3_det_rfdetr_small_best_best_ema_j3178622	RFDETRSmall	512	31.79	inference_model.onnx:121.5MB	/mnt/linux/icra_edge/exports/rfdetr_det/3_det_rfdetr_small_best_best_ema_j3178622
2026-09-07 06:38	5_det_rfdetr_medium_best_best_ema_j3178623	RFDETRMedium	576	33.37	inference_model.onnx:128.3MB	/mnt/linux/icra_edge/exports/rfdetr_det/5_det_rfdetr_medium_best_best_ema_j3178623
