timestamp	variant	stem	operating_point	conf	gate	duty_fps	k	n	rip_videos	rip_alarmed_frac	latency_median_s	latency_p90_s	norip_videos	norip_alarmed_frac	norip_hours	false_alarms_per_hour	video_F2	frames_kept_frac	detector_runs_frac
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s1_best_e18	event-F2	0.02	0.50	1.0	2	3	31	0.613	0.0	3.6	40	0.100	0.28	14.07	0.646	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s1_best_e18	event-F2	0.02	0.50	0.5	1	1	31	0.613	0.0	2.6	40	0.100	0.28	14.07	0.646	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s1_best_e18	event-F2	0.02	0.50	0.5	2	3	31	0.581	0.0	7.8	40	0.100	0.28	14.07	0.616	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s1_best_e18	event-F2	0.02	0.50	0.2	1	1	31	0.613	0.0	6.5	40	0.100	0.28	14.07	0.646	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s1_best_e18	event-F2	0.02	0.50	0.2	2	3	31	0.581	0.0	12.0	40	0.100	0.28	14.07	0.616	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	5.0	1	1	31	0.839	0.0	4.8	40	0.425	0.28	66.85	0.778	0.972	0.972
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	5.0	2	3	31	0.742	0.0	2.5	40	0.350	0.28	56.29	0.714	0.972	0.972
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	1.0	1	1	31	0.806	0.0	5.4	40	0.325	0.28	45.74	0.772	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	1.0	2	3	31	0.710	0.0	3.9	40	0.150	0.28	24.63	0.724	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	frame-F2	0.04	off	0.5	1	1	31	0.742	0.0	5.4	40	0.250	0.28	38.70	0.732	0.105	0.105
