board	scene	policy	mean_W	decisions_per_s	detector_calls	positives	source	audit
pi4_heatsink	norip	max_throughput	7.23	4.401	2642	0	pi4_heatsink_norip_20260912/cases/norip/norip_max_throughput/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	rip	adaptive	5.62	0.999	599	599	pi4_bare_camera_20260912/cases/rip/rip_adaptive/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	rip	cascade	5.71	0.987	592	592	pi4_bare_camera_20260912/cases/rip/rip_cascade/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	rip	detector_only	5.56	0.999	599	599	pi4_bare_camera_20260912/cases/rip/rip_detector_only/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	rip	max_throughput	7.19	4.265	2560	2560	pi4_bare_camera_20260912/cases/rip/rip_max_throughput/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	norip	adaptive	5.23	0.200	120	0	pi4_bare_norip_20260912/cases/norip/norip_adaptive/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	norip	cascade	5.24	0.000	0	0	pi4_bare_norip_20260912/cases/norip/norip_cascade/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	norip	detector_only	5.56	0.999	599	0	pi4_bare_norip_20260912/cases/norip/norip_detector_only/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
pi4_bare	norip	max_throughput	7.18	4.293	2577	0	pi4_bare_norip_20260912/cases/norip/norip_max_throughput/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json)
frdm	rip	detector_only	7.04	0.999	599	593	imx95_frdm_camera_20260912/cases/rip/rip_detector_only/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/FRDM_CAMERA_ACCEPTANCE_V1.json)
frdm	rip	adaptive	rej.	0.000	0	0	imx95_frdm_camera_retry2_20260912/cases/rip/rip_adaptive/result.json	power_rejected
frdm	rip	cascade	7.07	0.990	594	592	imx95_frdm_camera_retry2_20260912/cases/rip/rip_cascade/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/FRDM_CAMERA_ACCEPTANCE_V1.json)
frdm	rip	max_throughput	8.40	19.466	11680	11609	imx95_frdm_camera_tail_20260912/cases/rip/rip_max_throughput/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/FRDM_CAMERA_ACCEPTANCE_V1.json)
frdm	norip	adaptive	rej.	0.000	0	0	imx95_frdm_norip_20260912/cases/norip/norip_adaptive/result.json	power_rejected
frdm	norip	cascade	7.03	0.000	0	0	imx95_frdm_norip_20260912/cases/norip/norip_cascade/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/FRDM_CAMERA_ACCEPTANCE_V1.json)
frdm	norip	detector_only	rej.	0.000	0	0	imx95_frdm_norip_20260912/cases/norip/norip_detector_only/result.json	power_rejected
frdm	norip	max_throughput	8.38	19.607	11765	14	imx95_frdm_norip_20260912/cases/norip/norip_max_throughput/result.json	accepted_for_descriptive_camera_power_and_cadence (paper_writing_20260912/FRDM_CAMERA_ACCEPTANCE_V1.json)
