timestamp	row_id	board	model	conf	config	rip_hit_n	rip_n	rip_recall	rip_ci_lo	rip_ci_hi	no_rip_false_n	no_rip_n	false_fraction	false_ci_lo	false_ci_hi	video_F2	conditional_tta_median_s	conditional_tta_p90_s	detector_runs_frac	scope
2026-09-09T14:40:54+03:00	row09	orin	canon_bfi_s_s1_best_e1_384.onnx	0.07	gate .50, 1 Hz	20	31	0.6451612903225806	0.4838709677419355	0.8064516129032258	5	40	0.125	0.025	0.225	0.6711409395973155	0.0	1.3971638304971696	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row09	orin	canon_bfi_s_s1_best_e1_384.onnx	0.07	no gate, 1 Hz	23	31	0.7419354838709677	0.5806451612903226	0.9032258064516129	20	40	0.5	0.35	0.675	0.688622754491018	0.0	1.000800800800801	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row09	orin	canon_bfi_s_s1_best_e1_384.onnx	0.07	gate .50, 0.2 Hz	19	31	0.6129032258064516	0.45161290322580644	0.7741935483870968	3	40	0.075	0.0	0.175	0.6506849315068494	0.0	0.9943276609943242	0.020	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row10	orin	rfdetr_n_det_640.onnx	0.23	gate .50, 1 Hz	23	31	0.7419354838709677	0.5806451612903226	0.9032258064516129	3	40	0.075	0.0	0.175	0.7666666666666667	0.0	1.000800800800801	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row10	orin	rfdetr_n_det_640.onnx	0.23	no gate, 1 Hz	27	31	0.8709677419354839	0.7419354838709677	0.967741935483871	15	40	0.375	0.225	0.525	0.8132530120481928	0.0	0.40000000000000213	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row10	orin	rfdetr_n_det_640.onnx	0.23	gate .50, 0.2 Hz	21	31	0.6774193548387096	0.5161290322580645	0.8387096774193549	3	40	0.075	0.0	0.175	0.7094594594594594	0.0	0.0	0.020	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row11	orin	rfdetr_s_det_512.onnx	0.26	gate .50, 1 Hz	23	31	0.7419354838709677	0.5806451612903226	0.9032258064516129	5	40	0.125	0.025	0.25	0.756578947368421	0.0	0.8000000000000007	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row11	orin	rfdetr_s_det_512.onnx	0.26	no gate, 1 Hz	27	31	0.8709677419354839	0.7419354838709677	0.967741935483871	15	40	0.375	0.225	0.525	0.8132530120481928	0.0	0.0	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row11	orin	rfdetr_s_det_512.onnx	0.26	gate .50, 0.2 Hz	22	31	0.7096774193548387	0.5483870967741935	0.8709677419354839	3	40	0.075	0.0	0.175	0.738255033557047	0.0	0.0	0.020	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row12	orin	rfdetr_m_det_576.onnx	0.31	gate .50, 1 Hz	23	31	0.7419354838709677	0.5806451612903226	0.9032258064516129	4	40	0.1	0.025	0.2	0.7615894039735099	0.0	0.8000000000000007	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row12	orin	rfdetr_m_det_576.onnx	0.31	no gate, 1 Hz	28	31	0.9032258064516129	0.7741935483870968	1.0	11	40	0.275	0.15	0.40062499999999945	0.8588957055214724	0.0	0.0	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row12	orin	rfdetr_m_det_576.onnx	0.31	gate .50, 0.2 Hz	22	31	0.7096774193548387	0.5483870967741935	0.8709677419354839	2	40	0.05	0.0	0.125	0.7432432432432432	0.0	0.0	0.020	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row13	nano	canon_bfi_s_s1_best_e1_384.onnx	0.07	gate .50, 1 Hz	20	31	0.6451612903225806	0.4838709677419355	0.8064516129032258	6	40	0.15	0.05	0.275	0.6666666666666666	0.0	1.3971638304971696	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row13	nano	canon_bfi_s_s1_best_e1_384.onnx	0.07	no gate, 1 Hz	23	31	0.7419354838709677	0.5806451612903226	0.9032258064516129	20	40	0.5	0.35	0.675	0.688622754491018	0.0	1.000800800800801	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	row13	nano	canon_bfi_s_s1_best_e1_384.onnx	0.07	gate .50, 0.2 Hz	19	31	0.6129032258064516	0.45161290322580644	0.7741935483870968	3	40	0.075	0.0	0.175	0.6506849315068494	0.0	0.9943276609943242	0.020	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	dense_n	orin	t1_384_fp16_orin_preds_test.json	0.04	gate .50, 1 Hz	19	31	0.6129032258064516	0.45161290322580644	0.7741935483870968	4	40	0.1	0.025	0.2	0.6462585034013606	0.0	1.434768101434766	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	dense_n	orin	t1_384_fp16_orin_preds_test.json	0.04	no gate, 1 Hz	23	31	0.7419354838709677	0.5806451612903226	0.8709677419354839	7	40	0.175	0.075	0.3	0.7467532467532467	0.0	7.360000000000002	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	dense_n	orin	t1_384_fp16_orin_preds_test.json	0.04	gate .50, 0.2 Hz	18	31	0.5806451612903226	0.41935483870967744	0.7741935483870968	3	40	0.075	0.0	0.175	0.6206896551724138	0.0	1.501501501501505	0.020	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	expert_n	orin	canon_bfi_384_fp16_orin_preds_test.json	0.03	gate .50, 1 Hz	19	31	0.6129032258064516	0.45161290322580644	0.8064516129032258	5	40	0.125	0.025	0.225	0.6418918918918919	0.0	3.396730063396729	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	expert_n	orin	canon_bfi_384_fp16_orin_preds_test.json	0.03	no gate, 1 Hz	21	31	0.6774193548387096	0.5161290322580645	0.8387096774193549	9	40	0.225	0.1	0.375	0.6818181818181818	0.0	2.36	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	expert_n	orin	canon_bfi_384_fp16_orin_preds_test.json	0.03	gate .50, 0.2 Hz	18	31	0.5806451612903226	0.41935483870967744	0.7427419354838702	3	40	0.075	0.0	0.15	0.6206896551724138	0.0	4.981648314981649	0.020	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	dense_s	orin	s_s3_384_fp16_orin_preds_test.json	0.02	gate .50, 1 Hz	19	31	0.6129032258064516	0.45161290322580644	0.7741935483870968	5	40	0.125	0.025	0.22562499999999944	0.6418918918918919	0.0	0.3199999999999989	0.095	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	dense_s	orin	s_s3_384_fp16_orin_preds_test.json	0.02	no gate, 1 Hz	23	31	0.7419354838709677	0.5806451612903226	0.8709677419354839	11	40	0.275	0.15	0.425	0.7278481012658228	0.0	1.6213013013013013	0.206	offline sparse-frame replay; no service time
2026-09-09T14:40:54+03:00	dense_s	orin	s_s3_384_fp16_orin_preds_test.json	0.02	gate .50, 0.2 Hz	19	31	0.6129032258064516	0.45161290322580644	0.7741935483870968	2	40	0.05	0.0	0.125	0.6551724137931034	0.0	0.8319999999999971	0.020	offline sparse-frame replay; no service time
