timestamp	board	os	l4t	kernel	model	model_md5	original_model_md5	engine	engine_md5	imgsz	tensorrt	provider	threads	opencv	numpy	nvpmodel	jetson_clocks	ambient_C	runner_md5	board_bench_md5	rfdetr_reference_md5	smoke20_detection_counts	image_root	test_json_md5	status	repeat	n_warmup	n_timed	pre_ms	infer_call_ms	post_ms	pipeline_no_jpeg_ms	scope
2026-09-07T11:15:40+02:00	NVIDIA Jetson Nano Developer Kit	"NAME=""Ubuntu""; VERSION=""18.04.6 LTS (Bionic Beaver)""; ID=ubuntu; ID_LIKE=debian; PRETTY_NAME=""Ubuntu 18.04.6 LTS""; VERSION_ID=""18.04""; HOME_URL=""https://www.ubuntu.com/""; SUPPORT_URL=""https://help.ubuntu.com/""; BUG_REPORT_URL=""https://bugs.launchpad.net/ubuntu/""; PRIVACY_POLICY_URL=""https://www.ubuntu.com/legal/terms-and-policies/privacy-policy""; VERSION_CODENAME=bionic; UBUNTU_CODENAME=bionic; "	# R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	canon_bfi_s_s1_best_e1_384_trt82.onnx	5856162eed8d03571d21b4fd9085f32e	c24be37e85268943ae80713dc3cd88fc	/home/user/device_runs/nano_extended_20260907/engines/canon_bfi_s_s1_best_e1_384_trt82_fp16.plan	22e716384b723786acc500398928f56d	384	8.2.1.8	TensorRT CUDA10.2 ctypes transport	4	4.1.1	1.13.3	MAXN	on_verified_preflight	not_reconfirmed; morning23C	cc25178c15465ce6fda12f6fb99dbd3c	f0cb04deac09ec34b59ed54abf56cc87	ceae528912b128b6370dd279ca4d70f4	[0, 1, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]	/home/user/device_kit/test_images_640	e1edb99c1570937759abc42bba4a5788	passed	1	50	300	10.132948910010478	42.21213246333415	0.22929936998328534	52.574380743327914	Cachedimages, suppliedpre/decode, fullcallincludingCPU/GPUcopies; noJPEG,capture,accuracy orpowerclaim
2026-09-07T11:15:56+02:00	NVIDIA Jetson Nano Developer Kit	"NAME=""Ubuntu""; VERSION=""18.04.6 LTS (Bionic Beaver)""; ID=ubuntu; ID_LIKE=debian; PRETTY_NAME=""Ubuntu 18.04.6 LTS""; VERSION_ID=""18.04""; HOME_URL=""https://www.ubuntu.com/""; SUPPORT_URL=""https://help.ubuntu.com/""; BUG_REPORT_URL=""https://bugs.launchpad.net/ubuntu/""; PRIVACY_POLICY_URL=""https://www.ubuntu.com/legal/terms-and-policies/privacy-policy""; VERSION_CODENAME=bionic; UBUNTU_CODENAME=bionic; "	# R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	canon_bfi_s_s1_best_e1_384_trt82.onnx	5856162eed8d03571d21b4fd9085f32e	c24be37e85268943ae80713dc3cd88fc	/home/user/device_runs/nano_extended_20260907/engines/canon_bfi_s_s1_best_e1_384_trt82_fp16.plan	22e716384b723786acc500398928f56d	384	8.2.1.8	TensorRT CUDA10.2 ctypes transport	4	4.1.1	1.13.3	MAXN	on_verified_preflight	not_reconfirmed; morning23C	cc25178c15465ce6fda12f6fb99dbd3c	f0cb04deac09ec34b59ed54abf56cc87	ceae528912b128b6370dd279ca4d70f4	[0, 1, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]	/home/user/device_kit/test_images_640	e1edb99c1570937759abc42bba4a5788	passed	2	50	300	10.175021486669115	42.249038153340734	0.2291793533231612	52.65323899333301	Cachedimages, suppliedpre/decode, fullcallincludingCPU/GPUcopies; noJPEG,capture,accuracy orpowerclaim
2026-09-07T11:16:12+02:00	NVIDIA Jetson Nano Developer Kit	"NAME=""Ubuntu""; VERSION=""18.04.6 LTS (Bionic Beaver)""; ID=ubuntu; ID_LIKE=debian; PRETTY_NAME=""Ubuntu 18.04.6 LTS""; VERSION_ID=""18.04""; HOME_URL=""https://www.ubuntu.com/""; SUPPORT_URL=""https://help.ubuntu.com/""; BUG_REPORT_URL=""https://bugs.launchpad.net/ubuntu/""; PRIVACY_POLICY_URL=""https://www.ubuntu.com/legal/terms-and-policies/privacy-policy""; VERSION_CODENAME=bionic; UBUNTU_CODENAME=bionic; "	# R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	canon_bfi_s_s1_best_e1_384_trt82.onnx	5856162eed8d03571d21b4fd9085f32e	c24be37e85268943ae80713dc3cd88fc	/home/user/device_runs/nano_extended_20260907/engines/canon_bfi_s_s1_best_e1_384_trt82_fp16.plan	22e716384b723786acc500398928f56d	384	8.2.1.8	TensorRT CUDA10.2 ctypes transport	4	4.1.1	1.13.3	MAXN	on_verified_preflight	not_reconfirmed; morning23C	cc25178c15465ce6fda12f6fb99dbd3c	f0cb04deac09ec34b59ed54abf56cc87	ceae528912b128b6370dd279ca4d70f4	[0, 1, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]	/home/user/device_kit/test_images_640	e1edb99c1570937759abc42bba4a5788	passed	3	50	300	10.130333523343324	42.22507923332463	0.22995705333717828	52.58536981000513	Cachedimages, suppliedpre/decode, fullcallincludingCPU/GPUcopies; noJPEG,capture,accuracy orpowerclaim
