timestamp	row_id	board	model	model_md5	imgsz	provider	threads	source_timestamp	GT_view	split	conf	images_n	predictions_n	TP	FP	FN	P	R	F1	F2	AP50	AP75	AP50_95	dump_md5	source_ledger	status
2026-09-09T14:31:24+03:00	row06	pi5	rfdetr_n_det_640.onnx	651962750eded9eb60c0958d0a7b30af	384	CPUExecutionProvider	4	2026-09-08T20:34:20+03:00	bbox	test	0.23	9559	2813365	4538	3050	1639	0.5980495519240907	0.7346608385947871	0.6593534326189613	0.7025637849888532	0.7039791627311217	0.08554207326195443	0.2403610814419946	248e26994bd91fa5b2e90aa8e5811873	rpi5_overnight_20260908/rpi5/cpu_dumps/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row07	pi5	rfdetr_s_det_512.onnx	8e52135b5e04890a135f3d590793495b	512	CPUExecutionProvider	4	2026-09-08T22:45:26+03:00	bbox	test	0.26	9559	2814117	4602	2913	1575	0.612375249500998	0.7450218552695483	0.6722173531989484	0.714086211712131	0.7157207595963412	0.13457653233039857	0.28004366384603746	19a52e672793b7f40b7529219dd9eb05	rpi5_overnight_20260908/rpi5/cpu_dumps/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row08	orin	canon_bfi_s_s1_best_e1_640.onnx	9837de7659413c5a94ff3ffeb01b32ee	640	TensorRT CUDA	TensorRT internal, no sweep	2026-09-07T08:43:37+03:00	bbox	test	0.07	9559	49612	3423	3065	2754	0.5275893958076449	0.5541525012141817	0.5405448085274377	0.5486280292345171	0.5307448082968429	0.09384835545253789	0.20413181070545786	52b5ab550a8e988a0b52452e848c9b9b	extended_20260907/orin/measurements/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row08	orin	canon_bfi_s_s1_best_e1_640.onnx	9837de7659413c5a94ff3ffeb01b32ee	640	TensorRT CUDA	TensorRT internal, no sweep	2026-09-07T08:43:37+03:00	bbox_from_instance	test	0.05	9559	49612	3539	3695	2638	0.4892175836328449	0.5729318439371863	0.5277757065095816	0.5539728257466658	0.5128535466271946	0.06808623378589655	0.16604415912731196	52b5ab550a8e988a0b52452e848c9b9b	extended_20260907/orin/measurements/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row09	orin	canon_bfi_s_s1_best_e1_384.onnx	c24be37e85268943ae80713dc3cd88fc	384	TensorRT CUDA	TensorRT internal, no sweep	2026-09-07T08:56:17+03:00	bbox	test	0.07	9559	66759	3190	4193	2987	0.4320736827847758	0.5164319248826291	0.47050147492625366	0.49702408775045964	0.38954149612504735	0.04632076777976531	0.13867199413833325	064d1151dffce119fbdef0ac57efb86a	extended_20260907/orin/measurements/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row09	orin	canon_bfi_s_s1_best_e1_384.onnx	c24be37e85268943ae80713dc3cd88fc	384	TensorRT CUDA	TensorRT internal, no sweep	2026-09-07T08:56:17+03:00	bbox_from_instance	test	0.05	9559	66759	3463	5023	2714	0.4080839028988923	0.5606281366359074	0.4723453590670395	0.5216304151352653	0.4390330282691587	0.06275730864323491	0.14635524385234433	064d1151dffce119fbdef0ac57efb86a	extended_20260907/orin/measurements/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row10	orin	rfdetr_n_det_640.onnx	651962750eded9eb60c0958d0a7b30af	384	TensorRT CUDA	TensorRT internal, no sweep	2026-09-08T11:28:03+03:00	bbox	test	0.23	9559	2813024	4537	3051	1640	0.5979177648919346	0.734498947709244	0.6592081365782783	0.7024089670547436	0.7047618653139487	0.08655955851816115	0.24070893185501271	fdb70e1780c91488e42b984227261175	rf_area_20260908/orin/measurements/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row11	orin	rfdetr_s_det_512.onnx	8e52135b5e04890a135f3d590793495b	512	TensorRT CUDA	TensorRT internal, no sweep	2026-09-08T11:48:12+03:00	bbox	test	0.26	9559	2814000	4611	2897	1566	0.6141449120937666	0.7464788732394366	0.673876507124589	0.7156381922026323	0.7166234668088219	0.13399919812451205	0.2797620527139266	874f6eb755feb368d6db3ba4870b9abe	rf_area_20260908/orin/measurements/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row12	orin	rfdetr_m_det_576.onnx	52c7f51004c4c60389cd139f00f17b36	576	TensorRT CUDA	TensorRT internal, no sweep	2026-09-08T12:12:30+03:00	bbox	test	0.31	9559	2444231	4132	1819	2045	0.6943370862039994	0.6689331390642707	0.6813984168865435	0.6738641182034639	0.673781435451834	0.16932283000717674	0.2824422843954568	d0c8e7117fa16d233ecdb142414602eb	rf_area_20260908/orin/measurements/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row13	nano	canon_bfi_s_s1_best_e1_384.onnx	5856162eed8d03571d21b4fd9085f32e	384	TensorRT CUDA10.2 ctypes transport	4	2026-09-07T11:26:48+02:00	bbox	test	0.07	9559	66530	3178	4195	2999	0.43103214431032144	0.5144892342561114	0.46907749077490773	0.4953087497272529	0.39014261451102467	0.04645512476662746	0.13884401167904378	936871589fc8d2103c3430aad61ca31b	nano_extended_20260907/dumps/accuracy_dumps.tsv	passed
2026-09-09T14:31:24+03:00	row13	nano	canon_bfi_s_s1_best_e1_384.onnx	5856162eed8d03571d21b4fd9085f32e	384	TensorRT CUDA10.2 ctypes transport	4	2026-09-07T11:26:48+02:00	bbox_from_instance	test	0.05	9559	66530	3468	5016	2709	0.4087694483734088	0.5614375910636231	0.4730918764067935	0.522415039768619	0.43964993940171554	0.06292280878105211	0.1467199953079594	936871589fc8d2103c3430aad61ca31b	nano_extended_20260907/dumps/accuracy_dumps.tsv	passed
